PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Qualifier,IC50,LogIC50,Hill Coefficient,Hill S0,Hill Sinf,Hill dS,Chi Square,Rsquare,Excluded Points,Number of DataPoints,Inhibition at 3.0 nM,Inhibition at 9.1 nM,Inhibition at 27.3 nM,Inhibition at 81.8 nM,Inhibition at 245.4 nM,Inhibition at 0.7 uM,Inhibition at 2.2 uM,Inhibition at 6.6 uM,Inhibition at 19.9 uM,Inhibition at 59.6 uM
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,Activity Qualifier identifies if the resultant data IC50 came from a fitted curve or was determined manually to be less than or greater than its listed IC50 concentration,Qualified IC50 in molar: The concentration at which 50% of the inhibition is observed (relative to 100% inhibition of 13 micromolar reference inhibitor),Log10 of the qualified IC50 in M concentration.,"The variable HillSlope describes the steepness of the curve. This variable is called the Hill slope, the slope factor, or the Hill coefficient. If it is positive, the curve increases as X increases. If it is negative, the curve decreases as X increases. A standard sigmoid dose-response curve (previous equation) has a Hill Slope of 1.0. When HillSlope is less than 1.0, the curve is more shallow. When HillSlope is greater than 1.0, the curve is steeper. The Hill slope has no units.",Y-min of the curve.,Y-max of the curve.,The range of Y.,"A measure for the 'goodness' of a fit. The chi-square test (Snedecor and Cochran, 1989) is used to test if a sample of data came from a population with a specific distribution.",This value indicates how successful the fit explains the variation of the data; R-square is the square of the correlation between the response values and the predicted response values.,Number of excluded point in the dose-response curve (counting one data point per concentration).,Overall number of data points of normalized percent inhibition that was used for calculations (includes all concentration points); in some cases a data point can be excluded as an outlier.,Normalized percent inhibition at 3.0 nanomolar inhibitor concentration; average of triplicate measurement.,Normalized percent inhibition at 9.1 nanomolar inhibitor concentration; average of triplicate measurement.,Normalized percent inhibition at 27.3 nanomolar inhibitor concentration; average of triplicate measurement.,Normalized percent inhibition at 81.8 nanomolar inhibitor concentration; average of triplicate measurement.,Normalized percent inhibition at 245.4 nanomolar inhibitor concentration; average of triplicate measurement.,Normalized percent inhibition at 0.7 micromolar inhibitor concentration; average of triplicate measurement.,Normalized percent inhibition at 2.2 micromolar inhibitor concentration; average of triplicate measurement.,Normalized percent inhibition at 6.6 micromolar inhibitor concentration; average of triplicate measurement.,Normalized percent inhibition at 19.9 micromolar inhibitor concentration; average of triplicate measurement.,Normalized percent inhibition at 59.6 micromolar inhibitor concentration; average of triplicate measurement.
RESULT_UNIT,,,,,,,,MICROMOLAR,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
1,842868,645145,Inactive,22,,,>,19.88,-4.7,,,,,,,0,30,11.5,12.7,11.6,14.5,17.3,18.8,24.8,34.9,45.7,71.9
2,843289,645569,Active,40,,,=,5.723,-5.24,0.64,,,,14.73,0.99,0,30,14.8,15.4,16.2,17.6,19.7,25.1,36,55.2,72.6,99.6
3,843930,646236,Active,64,,,=,0.267,-6.57,0.88,,,,6.66,1,0,30,14.6,17.6,20.4,29.6,49.3,70.9,87.3,98.6,103.4,105.4
4,844493,646821,Active,57,,,=,0.661,-6.18,0.79,,,,25.33,0.99,0,30,12.6,14,16.9,21.9,36.9,51.6,67.6,85.7,94.4,93.6
5,844679,647010,Active,44,,,=,3.52,-5.45,0.87,,,,10.09,1,0,30,13,14.4,15.6,16.5,20.3,28.8,41.4,59.1,90.2,97.9
6,845448,5447163,Inactive,22,,,>,19.88,-4.7,,,,,,,0,30,12.6,13.2,13.5,13.8,15.2,16.9,22,29.7,45,75.1
7,845582,647938,Inactive,0,,,>,59.64,-4.22,,,,,,,0,30,1.7,2.6,5,5.8,8.4,9.6,11.7,11.3,12.3,13.8
