"#OTU ID	",Kingdom,Phylum,Class,Order,Family,Genus,,
"OTU0	",Bacteria,,,,,,,
"OTU1	",Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,
"OTU2	",Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,
"OTU3	",Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Parabacteroides,,
"OTU4	",Bacteria,Bacteroidetes,,,,,,
"OTU5	",Bacteria,Firmicutes,Clostridia,Clostridiales,,,,
"OTU6	",Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae 1,Geobacillus,
"OTU7	",Bacteria,Firmicutes,Clostridia,Clostridiales,,,,
"OTU8	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU9	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU10	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU11	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU12	",Bacteria,,,,,,,
"OTU13	",Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,
"OTU14	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU15	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU16	",Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,,
"OTU17	",Bacteria,Firmicutes,Clostridia,Clostridiales,,,,
"OTU18	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU19	",Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,,
"OTU20	",Bacteria,Firmicutes,,,,,,
"OTU21	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU22	",Bacteria,,,,,,,
"OTU23	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU24	",Bacteria,Firmicutes,,,,,,
"OTU25	",Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,
"OTU26	",Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,,
"OTU27	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU28	",Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,,
"OTU29	",Bacteria,,,,,,,
"OTU30	",Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,,
"OTU31	",Bacteria,,,,,,,
"OTU32	",Bacteria,,,,,,,
"OTU33	",Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,
"OTU34	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae Incertae Sedis,,
"OTU35	",Bacteria,,,,,,,
"OTU36	",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,,
"OTU37	",Bacteria,Firmicutes,Clostridia,Clostridiales,,,,
"OTU38	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU39	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU40	",Bacteria,Firmicutes,,,,,,
"OTU41	",Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,
"OTU42	",Bacteria,,,,,,,
"OTU43	",Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae Incertae Sedis,,
"OTU44	",Bacteria,Firmicutes,Clostridia,Clostridiales,,,,
"OTU45	",Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Parabacteroides,,
"OTU46	",Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Parabacteroides,,
"OTU47	",Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,
"OTU48	",Bacteria,Firmicutes,Clostridia,Clostridiales,,,,
"OTU49	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU50	",Bacteria,Bacteroidetes,,,,,,
"OTU51	",Bacteria,,,,,,,
"OTU52	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU53	",Bacteria,,,,,,,
"OTU54	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU55	",Bacteria,,,,,,,
"OTU56	",Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,,
"OTU57	",Bacteria,Firmicutes,Clostridia,Clostridiales,,,,
"OTU58	",Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,
"OTU59	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU60	",Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Porphyrobacter,,
"OTU61	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU62	",Bacteria,,,,,,,
"OTU63	",Bacteria,Bacteroidetes,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,,
"OTU64	",Bacteria,Firmicutes,Clostridia,Clostridiales,,,,
"OTU65	",Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,
"OTU66	",Bacteria,Firmicutes,Clostridia,Clostridiales,,,,
"OTU67	",Bacteria,Firmicutes,,,,,,
"OTU68	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU69	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU70	",Bacteria,Firmicutes,Clostridia,,,,,
"OTU71	",Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,
"OTU72	",Bacteria,,,,,,,
"OTU73	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU74	",Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,
"OTU75	",Bacteria,,,,,,,
