experiment,isolate,ST,OD600,measurement,replicate,normalized_measurement
1,1,4,0.461,0.317,1,0.687635575
1,2,55,0.346,0.434,1,1.25433526
1,3,55,0.356,0.917,1,2.575842697
1,4,4,0.603,1.061,1,1.759535655
1,5,330,0.444,3.701,1,8.335585586
1,6,55,0.533,0.901,1,1.69043152
1,7,55,0.551,0.85,1,1.542649728
1,8,55,0.514,0.673,1,1.309338521
1,9,4,0.589,1.315,1,2.232597623
1,10,4,0.506,1.19,1,2.351778656
1,11,55,0.545,1.19,1,1.427522936
1,12,55,0.516,0.748,1,1.449612403
1,13,4,0.64,1.059,1,1.6546875
1,14,4,0.426,1.63,1,3.82629108
1,15,4,0.552,1.082,1,1.960144928
1,ATCC_29212,30,0.431,0.815,1,1.890951276
2,1,4,0.606,0.597,1,0.985148515
2,2,55,0.559,0.743,1,1.329159213
2,3,55,0.413,0.843,1,2.041162228
2,4,4,0.694,0.923,1,1.329971182
2,5,330,0.501,3.203,1,6.393213573
2,6,55,0.667,1.124,1,1.685157421
2,7,55,0.617,0.934,1,1.513776337
2,8,55,0.668,0.872,1,1.305389222
2,9,4,0.52,0.943,1,1.813461538
2,10,4,0.473,1.304,1,2.756871036
2,11,55,0.5,1.231,1,2.462
2,12,55,0.527,1.022,1,1.939278937
2,13,4,0.522,1.626,1,3.114942529
2,14,4,0.576,1.341,1,2.328125
2,15,4,0.427,1.091,1,2.555035129
2,ATCC_29212,30,0.688,0.666,1,0.968023256
1,1,4,0.461,0.433,2,0.939262473
1,2,55,0.346,0.484,2,1.398843931
1,3,55,0.356,0.585,2,1.643258427
1,4,4,0.603,1.025,2,1.699834163
1,5,330,0.444,3.641,2,8.20045045
1,6,55,0.533,0.931,2,1.746716698
1,7,55,0.551,0.743,2,1.34845735
1,8,55,0.514,0.697,2,1.356031128
1,9,4,0.589,1.261,2,2.140916808
1,10,4,0.506,0.914,2,1.806324111
1,11,55,0.545,0.914,2,1.187155963
1,12,55,0.516,0.743,2,1.439922481
1,13,4,0.64,1.345,2,2.1015625
1,14,4,0.426,1.797,2,4.218309859
1,15,4,0.552,1.03,2,1.865942029
1,ATCC_29212,30,0.431,0.738,2,1.712296984
2,1,4,0.606,0.568,2,0.937293729
2,2,55,0.559,0.723,2,1.293381038
2,3,55,0.413,0.759,2,1.837772397
2,4,4,0.694,1.006,2,1.449567723
2,5,330,0.501,3.158,2,6.303393214
2,6,55,0.667,1.072,2,1.607196402
2,7,55,0.617,0.862,2,1.397082658
2,8,55,0.668,0.963,2,1.441616766
2,9,4,0.52,0.952,2,1.830769231
2,10,4,0.473,1.1,2,2.325581395
2,11,55,0.5,1.014,2,2.028
2,12,55,0.527,0.925,2,1.755218216
2,13,4,0.522,1.225,2,2.346743295
2,14,4,0.576,1.461,2,2.536458333
2,15,4,0.427,1.24,2,2.903981265
2,ATCC_29212,30,0.688,0.792,2,1.151162791
1,1,4,0.461,0.369,3,0.800433839
1,2,55,0.346,0.45,3,1.300578035
1,3,55,0.356,0.572,3,1.606741573
1,4,4,0.603,0.935,3,1.550580431
1,5,330,0.444,3.569,3,8.038288288
1,6,55,0.533,0.878,3,1.64727955
1,7,55,0.551,0.72,3,1.306715064
1,8,55,0.514,0.731,3,1.422178988
1,9,4,0.589,1.126,3,1.911714771
1,10,4,0.506,0.898,3,1.774703557
1,11,55,0.545,0.898,3,1.242201835
1,12,55,0.516,0.829,3,1.606589147
1,13,4,0.64,1.377,3,2.1515625
1,14,4,0.426,1.123,3,2.636150235
1,15,4,0.552,1.253,3,2.269927536
1,ATCC_29212,30,0.431,0.896,3,2.078886311
2,1,4,0.606,0.758,3,1.250825083
2,2,55,0.559,0.575,3,1.02862254
2,3,55,0.413,0.592,3,1.433414044
2,4,4,0.694,1.095,3,1.577809798
2,5,330,0.501,3.594,3,7.173652695
2,6,55,0.667,0.901,3,1.350824588
2,7,55,0.617,0.834,3,1.351701783
2,8,55,0.668,1.087,3,1.627245509
2,9,4,0.52,1.083,3,2.082692308
2,10,4,0.473,1.07,3,2.262156448
2,11,55,0.5,0.846,3,1.692
2,12,55,0.527,0.836,3,1.586337761
2,13,4,0.522,1.316,3,2.521072797
2,14,4,0.576,1.959,3,3.401041667
2,15,4,0.427,1.073,3,2.512880562
2,ATCC_29212,30,0.688,1.122,3,1.630813953
