Season,Team,Team Salary,Team Salary (in millions),League,Wins,Losses,Winning %,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,ERA,SV,SVO,IP,Hit Allowed,Runs Allowed,ER Allowed,HR Allowed,BB Allowed,SO Pitched,AVG Allowed,WHIP,INN,TC,PO,A,E,DP,SBPCT,C_WP,FPCT,DER
2016,Arizona Diamondbacks,103372186,103.4,NL,69,93,0.426,5665,752,1479,285,56,190,709,463,1427,137,31,0.261,0.32,0.432,0.752,5.09,31,53,1451.1,1563,890,821,202,603,1318,0.275,1.49,13062,6118,4354,1663,101,143,0.643,69,0.983,0.667
2016,Atlanta Braves,122438633,122.4,NL,68,93,0.422,5514,649,1404,295,27,122,615,502,1240,75,34,0.255,0.321,0.384,0.705,4.51,39,58,1447.2,1414,779,725,177,547,1227,0.256,1.35,13029,6009,4343,1565,101,134,0.841,83,0.983,0.694
2016,Baltimore Orioles,157201852,157.2,AL,89,73,0.549,5524,744,1413,265,6,253,710,468,1324,19,13,0.256,0.317,0.443,0.76,4.22,54,68,1432,1408,715,671,183,545,1248,0.258,1.36,12888,5955,4296,1579,80,165,0.651,59,0.987,0.689
2016,Boston Red Sox,215316336,215.3,AL,93,69,0.574,5670,878,1598,343,25,208,836,558,1160,83,24,0.282,0.348,0.461,0.81,4,43,61,1439.2,1342,694,640,176,490,1362,0.246,1.27,12957,5821,4319,1427,75,139,0.641,52,0.987,0.695
2016,Chicago Cubs,182235728,182.2,NL,103,58,0.64,5503,808,1409,293,30,199,767,656,1339,66,34,0.256,0.343,0.429,0.772,3.15,38,53,1459.2,1125,556,511,163,495,1441,0.212,1.11,13137,6115,4379,1635,101,116,0.778,80,0.983,0.731
2016,Chicago White Sox,141208186,141.2,AL,78,84,0.481,5550,686,1428,277,33,168,656,455,1285,77,36,0.257,0.317,0.41,0.727,4.1,43,71,1446.2,1422,715,659,185,521,1270,0.257,1.34,13020,5971,4340,1536,95,148,0.817,72,0.984,0.689
2016,Cincinnati Reds,114297733,114.3,NL,68,94,0.42,5487,716,1403,277,33,164,678,452,1284,139,51,0.256,0.316,0.408,0.724,4.91,28,53,1442,1457,854,786,258,636,1241,0.263,1.45,12978,5977,4326,1549,102,142,0.706,61,0.983,0.695
2016,Cleveland Indians,113957868,114,AL,94,67,0.584,5484,777,1435,308,29,185,733,531,1246,134,31,0.262,0.329,0.43,0.759,3.84,37,48,1445,1330,676,617,186,461,1398,0.243,1.24,13005,6032,4335,1608,89,126,0.614,49,0.985,0.697
2016,Colorado Rockies,120561480,120.6,NL,75,87,0.463,5614,845,1544,318,47,204,805,494,1330,66,39,0.275,0.336,0.457,0.794,4.91,37,65,1429.1,1532,860,779,181,547,1223,0.274,1.45,12864,6147,4288,1749,110,148,0.763,72,0.982,0.67
2016,Detroit Tigers,205894085,205.9,AL,86,75,0.534,5526,750,1476,252,30,211,719,493,1303,58,29,0.267,0.331,0.438,0.769,4.24,47,66,1428,1417,721,672,182,462,1232,0.26,1.32,12852,5896,4284,1537,75,148,0.645,44,0.987,0.692
